"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"tnk_43","MGAT5","GLS","INTS6","SKIL","MARCKSL1","UBE2S","MKNK2","PIP4K2A","CD226","HECA","GIMAP1","NCOA7","ATXN1","PREX1","ARID1B","AC058791.1","KMT2A","SESN1","IER5","TGFBR2","NIN","MAP3K4","IGLC2","CHD4","KLHL36","TP53INP1","RBMS1","IGLC3","PRR5","SERINC5","GTF2I","PRKCA","CCR4","TRIM44","SETX","EGR1","MYO9B","BOD1L1","DIAPH1","JARID2","PURA","REST","KLF13","THEMIS","KDSR","TERF1","ARAP2","MXD4","ANK3","AKAP17A"
"tnk_44","LAYN","TNFRSF9","LAIR2","GK","IL21R","IL1R2","IKZF2","STAM","CD79B","NCF4","IL2RA","HTATIP2","SEC14L1","ENTPD1","TRAF1","RFTN1","HLA.DMA","HLA.DQA1","MAST4","GRSF1","MAP1LC3A","CXCR3","MYO1G","CD58","PCED1B","CXCR6","ACP5","APOBEC3G","CUL9","PRDX3","FOXP3","CAPN2","UQCRC1","PTTG1","SASH3","NDFIP2","ILK","LYST","SRA1","PELI1","NEDD9","BCL2L1","MVP","FAM104A","SCAMP2","PSMC4","CDK6","NUDT5","LIMA1","GNA15"
"tnk_45","ZEB2","BOD1L1","MXD4","BRD7","RAB21","DNAJC21","SUZ12","KLF13","TMED8","OTULIN","PIP4K2A","MYO9B","TP53INP1","GLS","ZBTB1","PARP14","DDX39B","TRAPPC10","SPTY2D1","CDK13","BRD1","TAB2","ADNP","CEP350","PDE7A","ARL3","BRD9","SLK","GTF2I","ANKRD28","MARK3","STAG2","NFKB1","UBALD2","PTMS","ARID1B","MIB1","RBM26","KMT2A","IER5","CTSH","HDGF","VPS4B","RIF1","HECA","FAM120A","SETX","AP2B1","TOP2B","DDX52"
"tnk_46","TIPARP","MAP3K1","JMY","ZC3H12D","TGFBR2","DENND4A","SLC4A7","RBM38","NFKB1","RBM33","COPB1","DDX3Y","BOD1L1","KLF3","UTRN","IQGAP2","ARRDC2","PRRC2B","ARAP2","RIOK3","PPP3R1","RALGAPA1","OTULIN","DUSP5","ZNF267","CCR4","HIST1H1D","ERN1","ARHGEF7","ATF7IP","EP300","ABLIM1","MAP3K4","CDC14A","ADAM19","RASA2","PRKCQ","BAG3","B4GALT1","HEBP2","LEMD3","INSIG1","CDK12","CLINT1","MBP","PARP4","SPTY2D1","C1GALT1","XRN1","SETD2"
"tnk_47","PTPRCAP","FAAH2","RIC1","TIAM1","GK","CAMK2D","MGAT5","FOXN2","BTAF1","SYNE1","SLC9A9","TOX","LRMP","SESN1","NFATC1","CDK17","CCR4","MAN2A1","NFATC2","IL6R","TCF12","RELB","ACTN1","GABPB1","AHI1","TP53INP1","NUP98","DUSP5","ETV6","ITPKB","KLF12","BRWD1","EIF4G1","ZNF431","CCDC6","CXCR5","PNPLA2","MAPRE2","ANKHD1","ATP8A1","SMARCC2","ELMO1","SESN3","SMCO4","TNIK","PRRC2B","FBXO34","SLC25A36","RLF","ZBTB10"
"tnk_48","GNAQ","PTPN4","MARK2","FBXL17","NEK7","RAPGEF1","MAP3K1","SETX","CTSH","SPTBN1","CSNK1G3","TRRAP","CHD6","SFT2D2","SETD2","CHD9","GOLGA8B","YLPM1","IL18R1","ACSS1","DDX39B","KDSR","TAB2","MED13L","BOD1L1","TRIP11","KDM5C","TRAFD1","HELB","CDK13","CCPG1","MAP3K2","RSRC1","ARHGEF6","ATAD2B","REEP3","TOP2B","CLSTN1","PDXDC1","UBN1","KAT6A","ZFR","PHF8","FIP1L1","TXK","BAZ2B","XPO1","DCAF7","IGHG3","ACSL4"
"tnk_49","SLC35E3","CSGALNACT1","DNAJC10","TOR1AIP2","TRIM13","PI4KA","EIF4G3","APTX","SLC6A6","CPEB4","MKLN1","ZNF652","QKI","SUGP2","ARMCX6","ANAPC1","NAA50","PPIL3","ATXN2","MKNK2","DCUN1D1","NF1","RRBP1","PLEKHA3","MAP4K4","SMC6","ALDH3A2","NCOA1","CHD8","SPAST","ASB8","THAP6","GPATCH2L","LMBR1L","PDE7A","WDR26","MED13L","TRIM33","AHCTF1","MFSD6","IFT20","RTKN2","MAVS","ARHGAP5","GTPBP6","MSH3","DICER1","HDAC7","CBX5","RSRC1"
"tnk_50","CD40LG","TMIGD2","CTSH","CISH","IL26","DPP4","SMCO4","THEMIS","RUNX2","FLT3LG","FKBP11","ITGB7","TSEN54","STOM","HLA.DRB5","GLUL","MGAT4A","TGFBR2","PLEKHF1","TESC","BHLHE40","GADD45G","DAPK2","OASL","IFNG","ARHGEF3","MIR155HG","TNFSF14","LPCAT4","ADA","GZMH","FASLG","AQP3","ADAM19","ARHGAP18","PNP","RGL4","GRAP2","ARL3","CCR6","HOPX","CAMK4","F2R","NMRK1","NCR3","MAPKAPK3","SRGAP3","MBP","CLIC3","SCML4"
"tnk_51","FOXP3","LAIR2","TBC1D4","FCMR","SELL","CD28","IL2RA","GK","CSRNP1","FOSL2","ZNF331","RBM38","IL1R2","STAM","AC133644.2","PELI1","DUSP16","IKZF2","CD79B","CCR8","PER1","FRMD4B","LAPTM4B","MALT1","TNFRSF9","NCOA3","ZC3H12A","TNFRSF4","FBLN7","RELB","IL21R","ZBTB32","VDR","HBP1","CNST","GADD45A","ZC3H12D","IPCEF1","MAP1LC3A","PIM2","DUSP10","SATB1","AC017002.1","IRF4","IL6ST","STX11","HDAC7","CUL9","F5","PFKFB3"
"tnk_52","KLRD1","TRGC2","FOSB","GPR174","ITGA1","CD9","BCL2L11","RAB21","ARRDC3","CMIP","CD8B","CCL3","NBL1","TRG.AS1","CD8A","SNTB2","CLIC3","PIP4K2A","FAM102A","SRGAP3","CXCL13","FBXW7","RHOB","TAP2","SPRY1","IGHA1","MXD4","PPP3CA","ANKRD28","ZNF683","KIR2DL4","RAPGEF1","GNLY","NCK2","CWF19L2","GABPB1.AS1","C1orf56","PLEKHO1","MIAT","ZNF791","CREBRF","NFIL3","AGO2","TNRC6A","GFOD1","MIDN","KLRC1","ST3GAL5","TSHZ2","INTS6"
"tnk_53","AURKB","RAD51AP1","SAC3D1","KIFC1","FBXO5","GGH","MYBL2","GTSE1","CDCA3","PKMYT1","CCNA2","ESCO2","MXD3","UHRF1","CCDC34","PBK","CENPU","ORC6","MND1","RMI2","WDR34","MELK","TCF19","BIRC5","UBE2C","CENPH","CENPA","NCAPH2","ASPM","TEX30","CDCA4","RACGAP1","CCL3","KIF11","E2F1","KIF2C","WDR76","LIG1","TPX2","NCAPG","RFC3","CENPF","CDC45","DLGAP5","NDC80","CDKN3","CDCA8","FOXM1","CKAP2L","FANCI"
"tnk_54","UCK2","TRAP1","IFRD2","FXN","FARSB","ICAM2","GEMIN6","ARMC6","RRS1","SRD5A3","PTP4A3","CHAF1B","BAG2","EXOSC5","POLR3H","PAK1IP1","CTNNAL1","PES1","CENPP","IDH3A","CYB561A3","FAH","FAM111B","CRLS1","NOP16","SIGMAR1","NOLC1","RNASEH2A","YRDC","WDR4","AIMP2","NANS","CDC45","RRP1","NQO2","IL1R2","PCK2","STX11","STT3A","NPM3","C20orf27","ADAM15","MCFD2","ELAC2","C12orf45","WDR77","DDX11","ACOT13","UTP4","SFXN4"
"tnk_55","CCR8","MYBBP1A","CBWD5","TRAPPC5","XPO5","PAGR1","UCK2","AIMP2","RAVER1","EBI3","HILPDA","PCCB","NOP2","CDK7","CCDC86","UTP4","MSH5","ICAM1","PDCD2L","CBWD2","MMS19","CHST7","DARS2","GSTM1","GTF2H3","PRMT5","PTP4A3","TTLL12","ZNF410","PMM2","INTS9","CHERP","TP53BP2","GPHN","ZGPAT","BCKDHA","KRI1","SLC25A13","RMDN3","METTL6","PDCD11","MAN2B1","KNSTRN","EPAS1","MDN1","CLN3","MEMO1","GTF3C2","CCDC58","NFE2L3"
"tnk_56","RTKN2","CCR8","IL1R2","LAPTM4B","IKZF2","CUL9","FBLN7","RYBP","THADA","ICA1","FANK1","ZC3H12D","BACH1","CD177","NRIP1","F5","GCNT1","VDR","FNDC3B","SORL1","LY75","IL1R1","EPHX2","JMY","GPCPD1","TP53INP1","KDM6B","TULP4","YPEL2","EP300","LPP","EGLN1","ATP13A3","TIAM1","ADAT2","PTP4A3","CREB3L2","CREBRF","UGCG","KAT6B","MAP3K1","CASK","TRIB1","NCK2","CNST","TBC1D8","HS3ST3B1","UBASH3B","MAGEH1","EBI3"
"tnk_57","HAUS4","BCKDHA","RAD50","ABHD16A","TRAPPC5","CASP9","ST6GALNAC6","MAN2B1","RAVER1","UTS2","HIST1H2BK","AIFM1","ALDH3A2","NELFA","ZGPAT","CDK5","DHRS4","STAT6","PRRC1","TSHZ1","FASTKD1","NOP16","RAB3IP","RAB24","FAM199X","LPCAT1","CRTC2","MED16","SLC37A4","WDR37","ZBTB24","INTS5","TRAP1","SIGMAR1","ALAD","BNIP3","UBALD1","ACY1","PIGS","TKFC","RABEP2","DTD2","ARHGAP17","ZNF282","MRRF","ALAS1","C20orf27","RNASEH2A","JMJD8","NECAB3"
"tnk_58","TYROBP","S100A9","C1QA","C1QB","AIF1","FCER1G","APOC1","APOE","S100A8","LYZ","C1QC","SERPINA1","CXCL8","GLUL","CD68","SPI1","G0S2","SPP1","C15orf48","IL1B","PLAUR","FCGR2A","RNASE1","CD14","MNDA","BCL2A1","MS4A6A","LST1","MARCKS","LY96","TMEM176B","PLEK","FCGRT","IGSF6","MS4A7","IL1RN","GPNMB","CSF3R","FCGR3A","GSN","MMP12","IFITM3","CCL18","NCF2","SOD2","BASP1","CYBB","CXCL16","MAFB","CCL3"
"tnk_59","NEK2","PIF1","KNSTRN","PBK","CD8B","GPSM2","PRR11","TMEM71","FAM83D","TTK","AURKA","DLEU2","TROAP","CD8A","ARHGAP11A","HMMR","MXD3","DEPDC1B","KLRD1","ARHGAP11B","APOLD1","RCCD1","RNF26","ECT2","ITGA1","CKAP2L","HIST2H2AC","BUB1","KIF2C","REEP4","EMC9","SPDL1","SPC24","FOXM1","KIF11","SPAG5","CCNB1","KIF23","CDCA3","CDCA2","SAPCD2","CD84","CXCL13","G2E3","BORA","CCL3","PRC1","PLK1","HMGB3","NCAPH"
"tnk_60","HIST1H2AI","HIST1H2AJ","HIST1H2AG","ANKRD36B","HIST1H1B","HIST1H3B","NEIL3","PKMYT1","ESCO2","BUB1B","HIST1H2AH","DIAPH3","SKA3","HIST1H2AM","CEP152","C21orf58","RFWD3","MASTL","BRCA2","ATAD5","HIST1H2AL","MND1","UHRF1","MYBL2","HIST1H2BJ","PHF7","EDEM3","FANCD2","ANKRD36C","HIST1H3G","HIST1H3C","KIF18A","PLK4","CENPT","MELK","RNASEH2A","LIG1","ORC6","TNF","NRM","BRCA1","FANCI","BLM","CIT","NCAPG2","HIST1H2BH","PCNT","POLH","CDK16","APC"
"tnk_61","POMZP3","BCKDHA","HIST1H2AI","ACOT2","TBCE","CENPP","PAGR1","RNASEH2A","OIP5","CNOT10","CLASRP","TM9SF1","UTS2","PCCB","HIST1H2AJ","ARHGEF39","ZGPAT","MAN2B1","TCAF2","TANGO2","ABHD16A","CBWD2","EIF2AK3","INCENP","LEF1","C5orf51","SLC25A20","SHMT1","HAUS4","PLK4","SMG7","GTF2IRD2B","PIGN","UEVLD","KDM6A","GGT1","HACD1","C11orf54","NIF3L1","PXN","DSN1","ICAM2","FBLN7","HIST1H3B","TRAPPC5","ZC2HC1A","CSTF2","HARS2","SUFU","CHEK2"
"tnk_62","LEF1","TNFSF8","HOOK2","KLF3","FAAH2","ETV3","P2RY8","FOXN2","SLC39A8","RASGRP2","GPR132","LPAR2","ZNF410","AP3M2","CD40LG","ATXN7","KCNA3","CCR7","CCR4","HAUS3","NFATC1","RASA3","SH3TC1","MFSD11","MYBL1","BAG3","MPZL3","JCHAIN","MBNL2","DDX3Y","AGPAT5","NANS","ARRDC2","DPYD","MAP3K4","SESN3","PLAC8","MGAT5","KLF10","TESPA1","KDSR","PRKCA","MAL","SC5D","PKN2","ANKRD36B","ADSL","NDRG1","SLC7A6","ABCC1"
"tnk_63","RAPGEF1","MIAT","DOCK11","MXD4","UBALD2","LYRM1","DYNC1I2","CCM2","DNAJC21","ZBTB44","PAPSS1","CCDC167","MPHOSPH9","COMMD8","FKBP3","NSF","WDR26","IGHA1","ABHD13","PDS5B","TTC7A","ME2","METTL5","PDLIM2","TEX264","YIF1B","TRG.AS1","MRPS12","TRIM33","ZBTB8OS","AEBP2","IGKC","C1orf122","EXOC5","TIMM8B","MYO1F","ACAT2","CBX5","GPATCH2L","ACSL4","XAF1","DNAJA4","MYSM1","RUNX1","PKN1","TDP2","CCNG2","COX19","ZNRF1","FAM120A"
"tnk_64","ZNF827","SPINT2","CEP57L1","BTLA","CXCR5","GGCX","HIST1H2AC","PIKFYVE","ANKRA2","TBC1D17","MYO1E","ASAP1","STAT2","SCML1","PHC1","PSAT1","CEP170","TRPT1","TSC22D1","SLC40A1","ZNF134","THADA","ZNF518A","PI4KB","ETFDH","ICA1","CASP9","TBC1D2B","BAZ2B","MAGEH1","ZNF682","HSD17B4","TFDP2","SDCCAG8","CCNG2","DBR1","EXOC5","IARS","CD200","CHI3L2","SMCO4","USP37","RNF14","ALG5","NR2C1","CRTAM","PREPL","IREB2","LINC00649","MARS"
"tnk_65","KIR2DL4","CD160","MATK","TNIP3","METRNL","AUTS2","TRGC2","CCL4L2","ATP8B4","AKAP5","XCL2","CLIC3","AOAH","SLAMF7","GZMH","KLRC3","LAYN","CD101","XIST","TMEM39A","OASL","SYNGR1","RBBP8","PLCG2","THBS1","SKI","HLA.DRB5","IL12RB2","GALC","CHPT1","GALNT2","RIN3","ODF3B","CCR5","HSH2D","KIF3A","CD8B","SLC1A4","TESC","CEBPD","FASLG","KLRD1","A1BG","EXOSC9","RBM18","GNLY","VPS41","PMEPA1","SPRY1","CD151"
"tnk_66","CD274","PPARG","MICAL2","IL1R1","MAPK6","HS3ST3B1","CCR8","CCNG2","QKI","NCR3","WDTC1","HAVCR2","SNAP47","LYRM4","RDX","APOL3","EIF4EBP1","TMEM64","TMEM242","LAIR2","ZC2HC1A","TSC1","CPPED1","DENND3","FOXP3","GRPEL2","RFK","KDM5D","SOX4","ATP6V1C1","NCDN","TMEM204","TMEM41B","MFHAS1","KAT2B","PKIA","HMGCR","TMED8","GGT1","WDR44","CDKN2A","ZNF282","DPP4","CASP7","ATP13A3","TAF1B","DLG1","ZNRF1","MCAM","HIF1AN"
"tnk_67","ZNF226","FBXO32","ZNF101","CHI3L2","IRF9","CD79A","SMCO4","ANAPC7","SRGAP3","GABPB2","STX7","IL6R","CISD1","NUP107","AC016831.7","LINC00239","ACOT13","TSHZ2","SGK1","ACSF3","CDKN2C","GABPB1.AS1","IGKC","IGHA1","WDR73","SLAMF6","CD84","CDK5R1","ZC3H6","PASK","COMMD3","RBM43","BTLA","AKAP7","CNPY2","VPS33A","CREB3L2","NSMCE2","TBC1D2B","TMEM238","GPR155","ITPKB","NOC3L","CSAD","CD79B","SHPRH","ORC3","ZNF609","TRAPPC2","SH2D3C"
"tnk_68","GZMH","FNDC3B","AAAS","MED23","FASLG","RBM19","AKTIP","TP53INP2","CD101","METRNL","TRIB1","DDI2","TRGV3","POLR3D","MZB1","TLK2","SLAMF7","CASK","CD160","MED24","ATP13A3","CRYZL1","SLC39A9","ZNF675","SPATS2L","SPATA5","MRPL2","RABGEF1","ZXDC","TMEM39A","TYK2","IKBIP","TRAPPC6B","TRGC2","GPANK1","ESF1","CHAMP1","CHPF","UBR3","C2CD3","FCHSD1","ANKIB1","CADM1","OASL","CTNNA1","TYW3","PRPS2","NCOR2","NCK2","MAVS"
"tnk_69","E2F6","FAM118B","EPB41L2","ARFIP1","KCNK5","TNS3","BCL6","SLC25A25","ZMAT5","GPR137","NOC3L","MYO1E","SH2D3A","YEATS2","GGCT","MVK","ABHD15","KANSL3","ETS2","MDP1","FOCAD","IMMP1L","GTDC1","DHRS1","FANCF","COQ9","SMURF2","DDX11","FAM219B","HMBOX1","HMBS","CHM","EHMT2","ATXN7L2","C11orf54","NAT9","CANT1","GABPA","C9orf85","RASSF7","TBC1D14","BBS7","WDTC1","RANBP6","C18orf21","SLC39A4","LRIG1","ZNF79","TBL1X","TRIB1"
"tnk_70","APP","DCUN1D4","DAGLB","ZFP64","NUP155","SURF6","ZMAT1","GALE","CASP9","BRCA2","METTL4","TSC22D1","NUDT18","PIGN","SUFU","SSBP2","BPNT1","METTL22","SH3BP5","GMPPA","SAMD12","ARMC6","TMEM189","AP1AR","SETDB1","ZMIZ2","ACYP1","HPS4","EHMT2","SDCCAG8","MASTL","PEX6","RASA4","ZNF562","RNF214","NHLRC3","VRK1","ACSL1","LTBP4","CD79A","KCNK6","MBIP","SEC23IP","DPH1","ITGB3BP","METTL2B","TRIM41","ACSF3","GTF2H2C","CDKL2"
"tnk_71","GALE","MPP1","QDPR","GEMIN7","SIAH1","SLC43A3","STRADA","CDT1","TKFC","TAF5","CALHM2","MCM4","UBE2T","HAUS5","MECR","TIMM21","FHOD1","INO80C","PLAGL1","C11orf54","CLEC7A","SARS2","BCAT2","EXOSC5","SEC22A","SGSH","SHQ1","BDH1","CCDC92","RITA1","ALG1","CD274","PUDP","SUV39H2","PIGK","GINS2","SLC22A18","TRUB2","LDAH","C9orf85","SPATA20","MEGF9","LMF1","MYBBP1A","ABCD1","NEMP2","CC2D1A","APOBR","OAS3","NFKBIL1"
"tnk_72","THEMIS2","ZNF397","MEF2C","RASGRP3","CD79A","COBLL1","APPL2","BASP1","FCRL5","FAM49A","ST6GALNAC4","SEMA7A","HEMK1","ALOX5","SYK","CBX4","SLAMF7","TCF4","TNS3","GNG7","STAP1","C11orf71","EIF2AK4","RHBDD1","GPR180","LYN","NEIL1","HIST1H2BN","ZNF275","HHLA3","CYHR1","SPNS1","CDK5RAP1","THOC1","PDK1","POU2AF1","ADAM28","POFUT2","PKIG","GM2A","CPNE5","QPCT","MED26","TSPAN13","IGHM","ZNF165","IRF9","TEP1","PPP1R3E","MS4A1"
"tnk_73","MKI67","NTHL1","CDK1","CCNE1","CDC45","C11orf21","FANCI","DNA2","FANK1","RRM2","DSCC1","GTSE1","SFXN2","ESCO2","CCNA2","LLGL1","PCTP","CLSPN","STIL","SASS6","C16orf95","DIAPH3","WDYHV1","IL1RL1","AURKA","PKMYT1","CENPE","CLCC1","EBI3","ZBTB14","MAD2L1","NUP35","CDKN3","LINC00539","KMT5A","BRCA1","TPX2","RRP1","FIGNL1","AKIP1","TJP2","CENPW","POLR3H","UHRF1","HIST1H2AI","IFT88","BRPF1","CARD17","ENDOD1","HMMR"
"tnk_74","SH2D1B","TRGC1","S100A13","KRT81","CD160","KRT86","FUCA1","ZBTB16","KLRC1","TFF3","CD9","GPR82","TXK","GPR34","UBASH3B","PLPP1","PDLIM7","C1orf56","RMI2","CYTH4","SLFN13","NUDT14","CSF1","SERPINB6","ADGRG3","XCL2","UNG","P2RY11","TP53","CDIP1","DENND6B","LAYN","CLIC3","HPGD","IMMP1L","CYB5A","FASLG","MATK","TCEAL8","ATP8B4","AGR2","GFOD1","BID","SNX10","NHLRC3","PRNP","SRGAP3","CHD9","NBL1","TRGC2"
"tnk_75","CCDC6","PAXIP1","TMEM87B","CXCL13","THOC1","CHN1","NLRC5","MICAL2","DOT1L","HERC2","NPAT","CD27","KLRC4","STAT2","GPR183","TBC1D4","BCL11B","NCK2","C3orf38","ZEB1","ZFC3H1","RAB3GAP2","RBL1","RRBP1","OAS2","HUS1","AP3B1","NAT14","PKN2","PAG1","TRMU","AKT3","MAML2","ZCCHC2","CTLA4","RBM33","HIST1H1B","STIL","MSC","ZCCHC3","ACSL4","CDC7","MYO7A","MGAT4A","TNFRSF9","KIF21A","DPP8","RNF38","EPC2","NRDE2"
"tnk_76","CCDC93","TM9SF1","RELB","PER1","PFKFB3","KDM6B","PTPRCAP","CSRNP1","GPCPD1","NDEL1","GMDS","NIPSNAP1","RILPL2","AP3B1","PRKRIP1","ABHD2","ARID2","MLH1","FAS","NR4A3","USP42","RALGAPA1","TIMM23","C18orf32","HIST1H2AG","C2orf69","IFITM3","IRAK4","SOCS3","OSBPL9","FCMR","AGPAT5","ZNF302","KLRC3","MYO1E","ABHD18","ALDH16A1","LAS1L","BRD8","TMEM68","CCDC174","TMBIM1","UMAD1","MLLT3","GSK3B","ELMO1","GTDC1","MED15","SLC10A3","STK16"
"tnk_77","RUNX2","SESN3","TMEM263","TNIK","RALGAPA1","JMY","ARHGEF7","KDM6B","PER1","ELL2","STRADA","IRS2","DGKA","PRR11","PFKFB3","GFPT1","PCNT","ARNTL","PBX4","LCOR","ZZEF1","ARFGEF1","ANKHD1","PIGK","TRIM25","BRD1","UFSP2","F2R","KIAA0232","VCAM1","RAPGEF6","TNFRSF9","BTAF1","CRTAM","MEF2A","INCENP","RNF38","TNFSF4","CDK16","PNPLA8","ZNFX1","SEC23B","CCDC6","UBASH3A","ITPR2","ZFC3H1","HIST1H2AG","YLPM1","POLD4","NCOA2"
"tnk_78","FARSB","FXN","CCNE1","DHRS13","PDK3","LARP1B","PUS1","BAG2","HIST1H2AH","YARS2","TMEM209","MDN1","FUCA2","METTL1","TBRG4","GPALPP1","PPAT","YBX3","CCDC86","GRPEL2","REEP3","CDCA7L","CRNKL1","TRIP13","TIMM23","PRMT7","NEK9","EXOSC5","CHAF1B","THEM4","MRPS27","NFE2L1","GSTZ1","ALAS1","POLR3D","SYMPK","SRFBP1","ADPRHL2","PTRH1","FBXO45","AIFM1","CPPED1","EXOSC2","SLC25A40","PM20D2","BATF3","GRWD1","CDC6","CSTF2","ALG3"
"tnk_79","INF2","ATAT1","DPF3","RIPK1","ZMYM6","TMEM106A","SFXN3","TP53INP1","GDAP2","TMCO4","CREBRF","CD40LG","ZADH2","ELK3","SKI","STX7","TNRC6A","FADS2","LILRB1","TMEM185A","MARCH2","ZNF140","LINC00649","RANBP6","ADAL","RHOQ","GMIP","NSMAF","SORL1","ABCA2","NR2C2","ZNF512","CHST2","ZBP1","PRRC1","SEC16A","VPS50","FEM1A","AIM2","ZNF831","DTHD1","APH1B","MARK4","RBM27","TSC22D2","VRK2","LMO7","LIG3","LAX1","MLLT1"
"tnk_80","BATF3","WDR4","BCAT1","GPX7","GNA15","HIST1H2AL","CCDC86","PDSS1","ORC1","UCK2","POLR3H","HMBS","PUDP","SHQ1","HAUS4","GSTZ1","BYSL","MYB","EXO1","PRMT5","SARS2","DHX33","MCAT","PUSL1","XPO5","BAG2","SEH1L","SLC29A1","SLC35F2","PTPRCAP","CBWD2","NLE1","MRPL45","FXN","CDK7","BDH1","KCNN4","DPH2","SLC25A33","IL2RA","ATAD3B","DNA2","HEATR1","UTP4","ATAD3A","MLST8","LANCL1","DUS3L","PSAT1","SFXN4"
"tnk_81","MAN2C1","IFI44L","AGO4","KDM5D","ABCA2","ADGRG1","RHBDF2","TNK2","STMN3","ERN1","TSC22D1","ZNF432","CYP4F22","IFI44","TSHZ2","ZFYVE16","ZNF480","ZBTB4","ZNF513","SARDH","ING4","IGHA2","KLHL24","LRIG2","MAST3","GZMK","HCG18","MARK4","TSPYL4","KCNQ1OT1","FBXO31","ZNF701","UNKL","RGL2","QPCT","LAX1","SCAP","HERC3","NAT9","ATG16L1","THEMIS2","SYNJ1","DUSP18","ASTE1","TMEM102","METTL6","FCHSD2","SERPINH1","FBXO32","PI4KA"
"tnk_82","ZNF790","TNFSF13B","TSPAN31","LST1","KDM3A","IFT74","PLEKHM2","KAT2B","SEMA4A","UVSSA","CD14","SGTB","TSC22D1","ADAL","HNRNPA1L2","ZNF831","ARMCX5","CPT2","PANK1","CCDC102A","GPR107","MIR181A1HG","CHN1","SAP25","NPHP3","ZNF268","RECQL5","YIPF1","CCDC144A","PIGB","TTC7B","ZNF85","P2RY8","TMEM63A","ZFPM1","SC5D","FTO","LY96","MORN2","MAN2A2","SEC31B","MYL5","DNAJA4","PDP1","SNTB1","PIGN","WDR25","PPME1","FCHSD2","ASRGL1"
"tnk_83","CD40LG","KCNQ1OT1","ZNF574","LINC00467","SERPINH1","FRAT2","ALG12","HECTD4","GGACT","FBXO32","ATG4C","KDM5D","KLRG1","FAM193B","VCL","ERO1B","CCDC144A","MSC","LRRC8B","ELL2","GAN","ZNF420","YEATS2","ARMC7","ERF","TUBB2A","ZNF821","ACSL6","GALK2","PIK3R5","HPS6","PIGA","LINC00239","PTBP2","LINC00528","SNN","ZNF48","LYRM9","ZBTB45","CPPED1","SPATA2L","RCE1","SLC25A51","COL6A3","RTP4","GM2A","SLC37A3","PITRM1","B3GAT1","TIAM1"
"tnk_84","IL1R2","TXNRD2","ALG11","ADTRP","L3MBTL3","S1PR1","TRIM47","FAM216A","NSUN4","TAMM41","TBC1D14","HYAL3","NSDHL","EMILIN2","TRIT1","FSCN1","OSGEPL1","POP1","SPRYD4","DEF8","IL1R1","GCAT","SH3TC1","DPH6","INF2","RSPH3","TNFRSF8","NEURL1","MAP3K14","PUS7","WARS2","AP4S1","RASA3","EAF2","DUS4L","LXN","ZBTB32","MED20","ZBED4","TBL2","LGMN","NUDCD1","NARS2","PI4K2B","EIF3C","DBT","IL23R","GPD1L","OPN3","CXorf21"
"tnk_85","MS4A1","VPREB3","CD79A","MEF2C","SMIM14","MARCH1","LY86","BASP1","BANK1","TNFRSF13C","IRF8","TCF4","SPIB","BLK","POU2AF1","SWAP70","RNASE6","IGHM","SPI1","ADAM28","CD79B","RGS13","SCIMP","PDLIM1","RALGPS2","STAG3","MARCKS","PKIG","HVCN1","GNG7","HLA.DOB","PHACTR1","CYBB","BTK","SYK","LYL1","CD72","CD40","SH2B2","TNFRSF17","HHEX","NEIL1","COBLL1","CLIC4","RASGRP3","MS4A7","CPNE5","HLA.DOA","CLECL1","BIK"
